Ministère porteur,Ministère nom complet,Nom du projet,Projet interministériel,Description et objectifs du projet,En savoir plus sur le projet,Début,Durée prévisionnelle en année,Phase du projet en cours,Coût estimé,Coût estimé par tranche,Zone fonctionnelle,Financement [programme(s)],Lien vers les Projets Annuels de Performances,Date de publication
MI,Ministère de l'Intérieur,PPNG Plan Préfectures Nouvelle Génération,Non,"Le réseau des préfectures est actuellement engagé dans une évolution majeure d'une ampleur inédite : le plan ""préféctures nouvelle génération"" (PPNG). Cette reforme comporte : 1) la modernisation des processus de délivrance des titres ; 2) le renfort des missions prioritaires des prefectures ; 3) une politique d'accompagnement des ressources humaines qui sous-tend toute la démarche.
Dans le cadre de sa mise en œuvre, les services de délivrance de titres suivent un triple objectif : garantir la fiabilité des titres délivrés, traiter les dossier dans les meilleurs délais, assurer un service de qualité aux usagers.
Les processus de modernisation et d'optimisation des conditions de délivrance des titres engagés depuis quelques années ont significativement fait évoluer cette mission. L'amélioration de la qualité de délivrance des titres constitue un chantier prioritaire du ministère, impliquant les directions d'administration centrale, l'Agence nationale des titres sécurisés (ANTS), les préfectures et les maires. Les démarches d'amélioration des processus ont porté sur la délivrance des CNI et passeports (application TES), permis de conduire (application SNPC) et certificat d'immatriculation (application SIV).",http://www.interieur.gouv.fr/Actualites/L-actu-du-Ministere/Le-plan-prefectures-nouvelle-generation,2016-03-01,1.8,Déploiement,17.1,entre 9 et 20 M€,Administration générale et territoriale de l’État,Administration territoriale (P307) et ANTS,http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM307.pdf,2017-06-01
MI,Ministère de l'Intérieur,DESTA,Non,"La loi du 27 janvier 2014 de modernisation de l’action publique territoriale et d’affirmation des métropoles (MAPTAM – article 63) a prévu que, lorsque la redevance de stationnement ne sera pas ou sera insuffisamment réglée, un forfait de post-stationnement, se substituant à une contravention pénale, sera applicable à l’usager.
La Commission du contentieux du Stationnement Payant a pour mission d’instruire les recours contentieux des usagers dirigés contre les FPS et les titres exécutoires et de rendre une décision après un débat contradictoire qui la conduit à recueillir les moyens en défense des collectivités territoriales concernées.

Le projet consiste à :
- mettre en œuvre une application de gestion des dossiers de recours auprès de la CCSP introduits par voie postale ou par voie dématérialisée,
- mettre à disposition des parties les moyens d’adresser de façon dématérialisée les requêtes et les éléments des dossiers, comme de suivre l’avancement de leur traitement.",,2015-06-01,3.1,Conception / Réalisation,11.2,entre 9 et 20 M€,Contentieux de l'administation,Conduite et pilotage des politiques de l'intérieur (P216),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2016/pap/html/DBGPGMPRESSTRATPGM216.htm,2017-06-01
MI,Ministère de l'Intérieur,Généralisation - Equipement numérique mobile du primo-intervenant  NEOGEND/NEOPOL,Non,"Projet visant à équiper les forces de sécurité intérieure de solutions numériques sécurisées de mobilité. L'objectif général est notamment d'améliorer la sécurité en intervention, d'améliorer les conditions de travail des agents et de rapprocher les forces de sécurité du citoyen",,2014-09-01,4.1,Déploiement,81.6,entre 20 et 100 M€,Gestion des Systèmes d'Information et de Communication,Gendarmerie nationale (P152) / Police nationale (P176),"http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM152.pdf#page=37
http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM176.pdf#page=35",2017-06-01
MI,Ministère de l'Intérieur,PC STORM,Non,"Le projet vise à doter les forces d'interventions d'une solution de communication de groupe multimedia sécurisée et haut-débit basée sur la technologie 4G LTE, sur un lieu de crise en totale autonomie (réseau tactique) ou en mobilité en France et à l'étranger (roaming multi-opérateur).
",,2015-02-01,En cadrage,Cadrage,En cadrage,En cadrage,Sécurité intérieure,Gendarmerie nationale (P152) / Police nationale (P176),"http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM152.pdf#page=37
http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM176.pdf#page=35",2017-06-01
MJ,Ministère de la Justice,ASTREA,Non,"Refonte du système d'information du casier judiciaire national (enregistrement des condamnations pénales et de certaines décisions judiciaires, gestion de ces données conformément aux règles légales, délivrance des bulletins de casier judiciaire).",,2012-01-01,8.0,Conception / Réalisation,20.5,entre 20 et 100 M€,Gestion des personnes mises sous main de justice,Conduite et pilotage de la politique de la justice (P310),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM310.pdf#page=27,2017-06-01
MJ,Ministère de la Justice,PORTALIS,Non,"Programme global de modernisation et de simplification de la justice, PORTALIS est décomposé en 6 étapes.
Il apporte une transformation progressive jusqu’à la dématérialisation de bout-en-bout de la chaîne civile et permet aux justiciables de disposer d’un accès très large aux informations qui le concernent en matières civile et pénale :
- 1ère étape : le portail informatif du justiciable - mai 2016
- 2ème étape : le portail applicatif du justiciable et le portail du Service d'Accueil Unique du Justiciable (SAUJ) – décembre 2017
- 3ème étape : le portail des auxiliaires de justice - novembre 2018
- 4ème étape : le Bureau Virtuel Métier - 2019
- 5ème étape : mise en place du nouvel applicatif de la chaîne civile - 2021
- 6ème étape : dématérialisation de bout-en-bout de la justice civile – 2022",http://www.justice.fr/,2014-03-01,11.8,Conception / Réalisation,52.4,entre 20 et 100 M€,"Justice Civile, Sociale et Commerciale",Conduite et pilotage de la politique de la justice (P310),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM310.pdf#page=29,2017-06-01
MJ,Ministère de la Justice,CASSIOPEE V2,Non,"L’application CASSIOPÉE, en tant que support du bureau d’ordre national instituée par le décret en Conseil d’État n° 2009-528 du 11 mai 2009,
Application d'architecture centralisée elle couvre désormais l’ensemble des services de la chaîne pénale des tribunaux de grande instance.
CASSIOPEE a été conçue pour être interopérable avec d'autres applications, non seulement internes au ministère de la justice comme le casier judiciaire et APPI, mais également externes, comme avec les services enquêteurs",,2014-01-01,6.0,Conception / Réalisation,9.9,entre 9 et 20 M€,Justice Pénale,Conduite et pilotage de la politique de la justice (P310),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM310.pdf#page=27,2017-06-01
MJ,Ministère de la Justice,GENESIS V2,Non,"Gestion nationale des personnes écrouées : refonte de l'application GIDE (gestion des services qui règlent la vie d’une personne en milieu fermé : le greffe, la détention, les comptes nominatifs, la gestion des services pénitentiaires d’insertion et de probation (SPIP) et celle des activités, du travail et de la formation)",,,En cadrage,Cadrage,En cadrage,En cadrage,Gestion des personnes mises sous main de justice,Conduite et pilotage de la politique de la justice (P310),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM310.pdf#page=26,2017-06-01
MJ,Ministère de la Justice,COMEDEC,Oui,"Dématérialisation de la communication des données d'Etat Civil
Prévu dans le cadre du décret n°2011-167 du 10 février 2011, le dispositif COMEDEC de dématérialisation sécurisée des actes d’état civil répond à deux principaux enjeux : simplifier les démarches administratives des usagers en assurant une transmission directe des actes d’état civil entre les communes et les administrations et lutter contre la fraude documentaire (falsification des actes d’état civil présentés à l’appui des démarches administratives).

Grace à ce dispositif 53 % des demandeurs de passeport ou de CNI n’ont plus avoir à fournir leur acte d'état civil à l’appui de leur démarche.Le dispositif est aussi utilisé par les notaires qui peuvent ainsi utiliser directement les données d’état civil pour la rédaction de leurs actes notariés.",http://www.justice.gouv.fr/comedec-12589/,2008-01-01,13.0,Déploiement,21.0,entre 20 et 100 M€,Relation avec les Autorités Administratives,Administration territoriale (P307),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM307.pdf#page=24,2017-06-01
MJ,Ministère de la Justice,Enrichissement du SI Harmonie et fusion des métiers RH,Non,"Avec le déploiement d'Harmonie, achevé depuis 2012, le ministère de la justice est doté d’un système d’information (SI) en matière de gestion des ressources humaines pour l’ensemble de ses agents, et en capacité de s'interfacer avec le système de gestion des retraites. 
(les coûts initiaux du SIRH Harmonie ne figurent pas dans les couts complets de cette MAREVA ce qui explique en partie les écarts avec les coûts du PAP).             
Les objectifs sont désormais d'integrer la preliquidation de la paye  afin de permettre la convergence des métiers de la gestion administrative et de la gestion financière, qui est génératrice d'économies de fonctionnement (déploiement du pilote à l’administration centrale depuis août 2016), et de permettre l'interconnexion au futur SI-Paie de l'État; En paralléle   de mettre en place la déclaration mensuelle des données retraite pour le SRE et d'enrichir les fonctionnalités communes : gestion de la formation continue, de gestion des congés et  des temps,  d'interfacer le système avec l'annuaire LDAP du ministère  qui délivre les identités numériques et les habilitations permettant les accès au système d'information; enfin, d'étudier la prise en compte des collaborateurs occasionnels du service public lorsqu'ils ont vocation à être rémunérés en titre 2.
",,2014-04-01,5.2,Déploiement,34.2,entre 20 et 100 M€,Ressources Humaines,Conduite et pilotage de la politique de la justice (P310),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM310.pdf,2017-06-01
MJ,Ministère de la Justice,PNIJ,Oui,Création d'une plateforme nationale des interceptions judiciaires : Le système fonctionne comme un guichet unique transmettant par voie électronique les réquisitions judiciaires reçues des enquêteurs et les réponses fournies par les opérateurs. Il comprend également des outils d’aide à l’investigation.,,2005-03-01,12.8,Déploiement,121.2,> 100 M€,Justice Pénale,Conduite et pilotage de la politique de la justice (P310),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM310.pdf#page=23,2017-06-01
MEA,Ministère de l'Europe et des Affaires étrangères,DIPLOMATIE v2,Non,Version 2 du portail interministériel de la correspondance diplomatique,,2014-07-01,3.5,Déploiement,5.0,entre 5 et 9 M€,Action Diplomatique,Action de la France en Europe et dans le monde (P105),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM105.pdf#page=33,2017-06-01
MEA,Ministère de l'Europe et des Affaires étrangères,CROCUS,Non,Logiciel de gestion budgétaire et comptable à l’étranger.,,2016-01-15,5.0,Conception / Réalisation,12.6,entre 9 et 20 M€,Finances,Action de la France en Europe et dans le monde (P105),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM105.pdf#page=34,2017-06-01
MEA,Ministère de l'Europe et des Affaires étrangères,SAPHIR,Non,"Saphir (Système d’Archivage Pour l’Histoire, l’Information et la Recherche) est l’un des projets du programme Vitam lancé par les ministères des Affaires Etrangères, de la Culture et de la Défense, et qui a pour but de mettre en place un socle d’archivage électronique implémenté par les porteurs du programme, et réutilisable par les autres administrations.
Dans ce cadre, le projet Saphir porté par le ministère des Affaires étrangères et du Développement international vise à mettre en œuvre un système d’archivage électronique basé sur l’implémentation de la solution logicielle Vitam. Le projet inclut notamment la mise en cohérence du système d’information archivistique, la reprise des données et la collecte de la production dématérialisée du ministère.",,2015-12-07,3.7,Conception / Réalisation,3.8,< 5 M€,Archives définitives,Action de la France en Europe et dans le monde (P105),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM105.pdf#page=31,2017-06-01
MAA,Ministère de l'Agriculture et de l'Alimentation,Expadon 2,Non,Mise en place d'une téléprocédure pour que les exportateurs puissent demander en ligne les agréments et les certificats sanitaires ou phytosanitaires (environ 300 000 certificats par an) afin d'en accélérer et fiabiliser la délivrance en conformité avec les exigences des pays-tiers importateurs des produits français ou réexportés de France.,,2013-01-01,5.7,Conception / Réalisation,16.1,entre 9 et 20 M€,Alimentation,Sécurité et qualité sanitaires de l'alimentation (P206)/Économie et développement durable de l'agriculture et des territoires (P154),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM215.pdf#page=22,2017-06-01
MAA,Ministère de l'Agriculture et de l'Alimentation,RESYTAL CYCLE 1,Non,"Refonte du SI de l’Alimentation support de la DGAL pour garantir la santé des consommateurs, des animaux, des végétaux et de l’environnement en s’assurant des conditions sanitaires dans lesquels les produits animaux et végétaux sont produits et mis sur le marché ou introduits sur le territoire.",,2012-12-01,5.2,Conception / Réalisation,21.6,entre 20 et 100 M€,Alimentation,Conduite et pilotage des politiques de l'agriculture (P215)/Sécurité et qualité sanitaires de l'alimentation (P206),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM215.pdf#page=23,2017-06-01
MAA,Ministère de l'Agriculture et de l'Alimentation,SIRENA Cycle 1,Non,"Sirena est le programme de rénovation du système d'information de l'enseignement agricole et de la gestion des apprenants. Il permet l’interopérabilité avec les systèmes d'information du ministère de l'éducation nationale et des conseils régionaux. Il a également pour objectif de fiabiliser les données et les circuits d’alimentation des bases de gestion des apprenants du ministère (examens, bourses, gestion des moyens, suivi des parcours, décrochage scolaire).",http://www.chlorofil.fr/systeme-educatif-agricole/organisation-orientations-et-evolution-de-lea/systeme-dinformation-de-lenseignement-agricole/sirena.html,2015-01-01,4.0,Conception / Réalisation,10.1,entre 9 et 20 M€,Enseignement Agricole,Conduite et pilotage des politiques de l'agriculture (P215)/ Enseignement technique agricole (P143),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/html/DBGPGMJPEPGM215.htm,2017-06-01
MC,Ministère de la Culture,ADAMANT,Oui,"Adamant est l’un des projets du programme Vitam lancé par les ministères des Affaires Etrangères, de la Culture et de la Défense, et qui a pour but de mettre en place un socle d’archivage électronique implémentés par les porteurs du programme, et réutilisable par les autres administrations. Dans ce cadre, le projet Adamant porté par le ministère de la Culture et de la Communication vise à l’implémentation de la solution logicielle Vitam.
Le projet inclut l’évolution du système d’information archivistique, la reprise des archives déjà conservées et la collecte de nouvelles archives relevant de la responsabilité des Archives nationales (archives définitives des ministères et opérateurs nationaux, à l’exception du MAEDI, du MINDEF et des ministères économiques et financiers) ainsi que la gestion de la conduite du changement nécessaire à la mise en œuvre de ce projet de transformation.",http://www.archives-nationales.culture.gouv.fr/fr/web/guest/adamant-projet-d-avenir,2015-04-01,5.0,Conception / Réalisation,17.5,entre 9 et 20 M€,Archives définitives,Patrimoines (P175),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM224.pdf#page=27,2017-06-01
MC,Ministère de la Culture,IconoLab,Non,"Le projet consiste à réaliser une expérimentation d'indexation (tagging) sémantique à travers un projet pilote : développer un outil collaboratif orienté 3.0 pour l’indexation de fonds d’images, dont le principe sera transposable à terme aux différents domaines de compétences du ministère de la Culture et de la Communication",,2015-04-01,3.0,Conception / Réalisation,0.3,< 5 M€,Données culturelles transverses,Transmission des savoirs et démocratisation de la culture (P224),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM224.pdf#page=28,2017-06-01
MAr,Ministère des Armées,ALPHA,Non,"Gestion des achats : le périmètre fonctionnel comprend les domaines de la planification des projets d’achats, du pilotage de la procédure et des marchés, du suivi administratif de ces marchés, de la gestion des incidents fournisseurs et des prestations.",,2015-04-01,2.6,Conception / Réalisation,9.7,entre 9 et 20 M€,Achats,Soutien de la politique de la défense (P212),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM212.pdf#page=56,2017-06-01
MAr,Ministère des Armées,SOURCE SOLDE,Non,"Source Solde est un projet complexe majeur qui a vocation à remplacer, dans un délai très contraint et dans un environnement soumis à une forte pression politique et sociale, le système actuel de solde Louvois, suite à la décision du Ministre de la défense du 3 décembre 2013. 
L’objectif est d’assurer la détermination, le calcul et le suivi d’une solde juste pour le personnel militaire relevant du ministère de la défense et de leurs ayants droit et ayants cause (environ 250 000 personnes).",,2014-04-01,5.9,Expérimentation,126.0,> 100 M€,Ressources Humaines,Soutien de la politique de la défense (P212),,2017-06-01
MAr,Ministère des Armées,ARCHIPEL-NG,Non,"ArchiPélNG est l’un des projets du programme Vitam lancé par les ministères des Affaires Etrangères, de la Culture et de la Défense, et qui a pour but de mettre en place un socle d’archivage électronique implémenté par les porteurs du programme, et réutilisable par les autres administrations. Dans ce cadre, le projet ArchiPélNG porté par le ministère de la défense vise à doter le Service Historique de la Défense (SHD) d'une application métier, déployée sur les dix sites du service, permettant d'outiller les processus métier de la fonction archives tant pour les documents papier que pour les documents électroniques, en prenant en compte les documents non protégés comme les documents classifiés au titre du secret de la défense nationale ; pour répondre au besoin de conservation des documents électroniques, l’application s'appuie sur la solution logicielle Vitam",,2015-04-01,En cadrage,Cadrage,En cadrage,En cadrage,Archives définitives,Soutien de la politique de la défense (P212),,2017-06-01
MAr,Ministère des Armées,SOURCE WEB,Non,"Source Web est un projet de construction d’une interface simplifiée et sécurisée de saisie qui s’appuie sur une base de données agrégée pour toutes les armées, directions et services. Interfacée avec les SIRH du Ministère de la Défense, cette interface, dotée d’une ergonomie novatrice, permettra d’uniformiser, de simplifier la saisie des informations en intégrant une fonctionnalité de requêtage et de gérer les aspects liés à la dématérialisation des pièces justificatives, et ainsi permettre d’assurer, non seulement la cohérence entre les données saisies et les pièces jointes associées mais également leur contrôle.",,2014-01-07,En cadrage,Cadrage,En cadrage,En cadrage,Ressources Humaines,Soutien de la politique de la défense (P212),,2017-06-01
MEN,Ministère de l'Éducation nationale,CYCLADES,Oui,"La gestion des examens (dont ceux de l’enseignement supérieur tels que le brevet de technicien supérieur (BTS), le diplôme de comptabilité et de gestion (DSCG),…) et des concours de recrutement des personnels du MENESR est assurée au moyen du logiciel OCEAN. 
Ce logiciel étant opérationnel depuis 15 ans et s’appuyant sur des technologies devenues obsolètes, le ministère a décidé en 2006 sa refonte technologique et fonctionnelle et lancé le nouveau projet CYCLADES.
Depuis septembre 2011, des concours d’autres ministères sont gérés par le ministère avec le logiciel OCEAN. Ils seront pris en compte dans CYCLADES.
Le lotissement du projet CYCLADES est construit en adéquation avec le déroulement d’une session d’examens et de concours. Le projet est organisé en différents paliers, chacun ayant un périmètre fonctionnel (examens/concours). Ces paliers sont répartis sur les années 2013 à 2019.
Pour la session 2016,  Cyclades a permis de gérer plus de 500.000 candidats. La volumétrie pour 2017 sera de 1 Million et 1,8 Millions en 2018. 
CYCLADES couvrira l'intégralité des examens et concours à la session 2020 soit plus de 3 millions de candidats. Ce projet permettra au MENESR de répondre durablement aux enjeux de gestion des examens et des concours, de l’inscription des candidats jusqu’à la publication de leurs résultats, conduisant à une mobilisation annuelle de 4 700 centres d'examens et 200 000 correcteurs pour gérer 21 millions de copies et 30 millions de notes par session. À l'horizon 2020, la gestion de l'archivage sera de l'ordre de 60 millions de documents (pour information : 2,5 millions en 2015).
Le budget et la trajectoire du projet ont fait l’objet d’une actualisation pour tenir compte des changements de périmètre fonctionnel (intégration des diplômes numériques…) et pour intégrer dans le budget le coût de la maintenance d’Océan.
Le projet OCEAN-CYCLADES offrira des gains métiers résultant de l’adaptation aux évolutions réglementaires, une prise en charge des concours non couverts à l’heure actuelle, l’implémentation de nouvelles fonctionnalités à forte valeur ajoutée (entrepôt de données, attestation de diplôme, certification numérique des diplômes, dématérialisation de la correction des copies,…).
En outre, ce projet conduira à une interopérabilité avec les référentiels et les autres applications du MENESR.
Pour la Session 2017, plus d'un million de candidats seront gérés dans Cyclades.",,2010-12-01,9.8,Expérimentation,40.1,entre 20 et 100 M€,Examens et Concours,Soutien de la politique de l'éducation nationale (P214),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM214.pdf#page=40,2017-06-01
MEN,Ministère de l'Éducation nationale,OP@LE,Non,Refonte fonctionnel et technologique  de l’application GFC-RCBC : adaptation à la LOLF du cadre comptable des EPLE (lycées et collèges publics) et conception d’un SI de gestion financière et comptable dans une nouvelle architecture,,2014-09-01,En cadrage,Cadrage,En cadrage,En cadrage,Finances,Soutien de la politique de l'éducation nationale (P214),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM214.pdf#page=41,2017-06-01
MEN,Ministère de l'Éducation nationale,LSU du CP à la 3EME,Oui,"Le projet de livret scolaire unique  (LSU), dans son état actuel, vise à offrir à tous les types d’établissements de la scolarité obligatoire (de 6 à 16 ans)  un outil numérique performant capable à la fois d’appréhender toutes les formes d’évaluation (classe sans note, avec tous autres types de positionnement) , d’assurer un suivi et la restitution des acquis scolaires sans rupture, du premier au second degré et quel que soit le parcours des élèves (changements d’établissements ou d’académies). 
L'application propose des modèles normés de bilans périodiques, de bilans de cycles et des attestions officielles délivrées par le MENESR. 
Pour cela  le LSU propose une application simple et lisible par tous, qui permet la restitution synthétique de l’évaluation des compétences du socle commun de connaissances et de culture simultanément à l’évaluation codée. 
Le LSU améliore les pratiques professionnelles et optimise le temps des équipes pédagogiques tout en dédiant une seule application nationale au suivi des progrès des acquis des élèves, pour les deux degrés d’enseignement et sur l’ensemble de la scolarité obligatoire. 

Le LSU prend en compte les écosytèmes applicatifs existants et se veut interopérable avec toutes les suites applicatives privées de suivi des acquis des élèves. En effet les éléments constitutifs du livret scolaire peuvent être établis avec différents outils privés ou ministériels. Néanmoins en cas de changement d'établissement le livret est obligatoirement transmis au nouvel établissement par le biais de l'application nationale de suivi de la scolarité. 
Cette application est aussi la seule source de transmission des éléments du livret pris en compte pour l'attribution du DNB et pour les choix d'affectation des élèves.",http://eduscol.education.fr/cid104511/le-livret-scolaire.html,2014-06-01,4.0,Déploiement,2.0,< 5 M€,Scolarité de l'élève,Soutien de la politique de l'éducation nationale (P214),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM214.pdf#page=42,2017-06-01
MEN,Ministère de l'Éducation nationale,SI Paie des EPLE (OPERA),Non,"Refonte de l’application de paie des EPLE « GOSPEL »:
- objectif de retour au standard
- généralisation à l'ensemble des EPLE
- dématérialisation des processus 
- outillage décisionnel grâce à un infocentre
",,2015-02-02,5.9,Conception / Réalisation,17.1,entre 9 et 20 M€,Ressources Humaines,Soutien de la politique de l'éducation nationale (P214),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM214.pdf#page=44,2017-06-01
MEN,Ministère de l'Éducation nationale,SIRHEN,Non,"SIRHEN est un programme stratégique du ministère, qui vise à construire un système d'information (SI) unifié, souple et efficace intégrant la gestion des ressources humaines (RH) et des moyens, à accompagner la modernisation de la gestion RH, à développer sa dimension qualitative, et à renforcer les capacités de pilotage à chaque échelon. 
Ce système d’information est développé spécifiquement pour le ministère de l’Education nationale, de l’Enseignement supérieur et de la Recherche. 
A terme, il permettra de gérer le dossier administratif et financier des 1 100 000 agents du ministère ainsi que les moyens, c’est-à-dire la préparation de la rentrée scolaire. La mise en œuvre d’un dossier unique agent apporte une fluidification et un enrichissement qualitatif des processus de gestion des ressources humaines. SIRHEN renforce l’intégration des processus de gestion des ressources humaines, de gestion des moyens (préparation de la rentrée) et de pilotage budgétaire, en consolidant les différentes évolutions conceptuelles et pratiques des systèmes existants.",http://www.sirhen.education.fr/,2008-12-01,12.0,Expérimentation,496.5,> 100 M€,Ressources Humaines,Soutien de la politique de l'éducation nationale (P214),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM214.pdf,2017-06-01
MTES,Ministère de la Transition écologique et solidaire,Montée de version du SIRH,Non,"Le projet vise à réaliser la migration du SIRH socle des ministères chargés de l’écologie et du logement, fonctionnant actuellement sous la version 5 du progiciel HR Access, vers la version suite 9 de l’outil interministériel Renoirh. Ce projet intègre des objectifs de fiabilisation, rationalisation, retour au règlementaire et maîtrise des coûts du SIRH ministériel.  ",,2016-10-01,En cadrage,Cadrage,En cadrage,En cadrage,Ressources Humaines,"Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables (P217)",,2017-06-01
MTES,Ministère de la Transition écologique et solidaire,REVTC V2,Non,"Gestion du registre des exploitants de Voitures de Transport avec Chauffeur : gérer les inscriptions des exploitants au registre des VTC, les modifications des renseignements liés à l’activité, la mise à jour et le renouvellement des autorisations, les mises en demeure et radiations éventuelles",https://registre-vtc.developpement-durable.gouv.fr/,2016-04-01,1.8,Conception / Réalisation,1.0,< 5 M€,"Infrastructure, Transports et Mer",Infrastructures et services de transports (P203),http://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM203.pdf#page=31,2017-06-01
MTES,Ministère de la Transition écologique et solidaire,Géoportail,Non,"Le Géoportail est un outil-clé pour qui permet aux citoyens, développeurs et décideurs d’avoir accès à des informations géographiques fiables pour comprendre les territoires, définir les politiques publiques, développer la e-administration numériques, l'information des citoyens et l’économie numérique. 
Le projet pérennise le Géoportail dans une nouvelle infrastructure maîtrisée par l'Etat. L’accès se fait via un nouveau site de consultation (https://www.geoportail.gouv.fr), une nouvelle offre de service à destination des services publics et de nouvelles interfaces de programmation (API) pour développeurs.
Le projet contribue à la mise en œuvre de la loi sur le service public de la donnée et à la directive européenne visant à construire une infrastructure d'information géographique  dans la communauté européenne (directive INSPIRE) pour favoriser la protection de l'environnement. 
Le pilotage du projet est assuré par l'IGN, Institut national de l'information géographique et forestière.

",https://geoportail.gouv.fr,2015-06-01,4.0,Conception / Réalisation,14.6,entre 9 et 20 M€,Information géographique,"Expertise, information géographique et météorologie (P159)",https://www.performance-publique.budget.gouv.fr/sites/performance_publique/files/farandole/ressources/2017/pap/pdf/DBGPGMPGM159.pdf,2017-06-01
